14840KMKG MKG20050401043009404/01/05 04:30:31  5-MIN KMKG 010930Z 00000KT 10SM CLR 02/00 A3007 500 85  -800 000/00 RMK AO2
14840KMKG MKG20050401043509404/01/05 04:35:31  5-MIN KMKG 010935Z 00000KT 10SM CLR 02/00 A3007 500 89  -900 000/00 RMK AO2
14840KMKG MKG20050401044009404/01/05 04:40:31  5-MIN KMKG 010940Z 00000KT 10SM CLR 02/00 A3006 500 89  -900 000/00 RMK AO2
14840KMKG MKG20050401044509404/01/05 04:45:31  5-MIN KMKG 010945Z 00000KT 10SM CLR 02/00 A3007 500 89  -900 000/00 RMK AO2
14840KMKG MKG20050401045011204/01/05 04:50:31  5-MIN KMKG 010950Z 00000KT 10SM CLR 01/M01 A3007 490 92 -1100 000/00 RMK AO2 SLP188 T00061006
14840KMKG MKG20050401045511204/01/05 04:55:31  5-MIN KMKG 010955Z 00000KT 10SM CLR 01/M01 A3007 490 89 -1000 000/00 RMK AO2 SLP189 T00111006
14840KMKG MKG20050401050009504/01/05 05:00:31  5-MIN KMKG 011000Z 00000KT 10SM CLR 01/00 A3008 490 92  -1000 000/00 RMK AO2
14840KMKG MKG20050401050509504/01/05 05:05:31  5-MIN KMKG 011005Z 26003KT 10SM CLR 01/00 A3008 480 92  -1000 260/03 RMK AO2
14840KMKG MKG20050401051009504/01/05 05:10:31  5-MIN KMKG 011010Z 26003KT 10SM CLR 01/M01 A3008 480 89 -1000 270/03 RMK AO2
14840KMKG MKG20050401051509504/01/05 05:15:31  5-MIN KMKG 011015Z 00000KT 10SM CLR 01/M01 A3008 480 92 -1100 000/00 RMK AO2
14840KMKG MKG20050401052009504/01/05 05:20:31  5-MIN KMKG 011020Z 00000KT 10SM CLR 00/M01 A3009 480 92 -1200 000/00 RMK AO2
14840KMKG MKG20050401052509604/01/05 05:25:31  5-MIN KMKG 011025Z 00000KT 10SM CLR M01/M01 A3009 470 96 -1200 000/00 RMK AO2
14840KMKG MKG20050401053009604/01/05 05:30:31  5-MIN KMKG 011030Z 00000KT 10SM CLR M01/M01 A3009 470 96 -1200 000/00 RMK AO2
14840KMKG MKG20050401053509604/01/05 05:35:31  5-MIN KMKG 011035Z 00000KT 10SM CLR M01/M01 A3009 470 96 -1200 000/00 RMK AO2
14840KMKG MKG20050401054009604/01/05 05:40:31  5-MIN KMKG 011040Z 00000KT 10SM CLR M01/M02 A3009 470 92 -1200 000/00 RMK AO2
14840KMKG MKG20050401054509604/01/05 05:45:31  5-MIN KMKG 011045Z 00000KT 10SM CLR M02/M02 A3009 470 96 -1400 000/00 RMK AO2
14840KMKG MKG20050401055011304/01/05 05:50:31  5-MIN KMKG 011050Z 00000KT 10SM CLR M01/M02 A3009 470 96 -1300 000/00 RMK AO2 SLP196 T10111017
14840KMKG MKG20050401055511304/01/05 05:55:31  5-MIN KMKG 011055Z 00000KT 10SM CLR M01/M02 A3009 470 92 -1200 000/00 RMK AO2 SLP196 T10061017
