14840KMKG MKG20050601085511106/01/05 08:55:31  5-MIN KMKG 011355Z 15007KT 10SM CLR 22/11 A3013 430 50  1300 150/07 RMK AO2 SLP202 T02170111
14840KMKG MKG20050601090009406/01/05 09:00:31  5-MIN KMKG 011400Z 12009KT 10SM CLR 22/11 A3013 440 49  1400 130/09 RMK AO2
14840KMKG MKG20050601090509406/01/05 09:05:31  5-MIN KMKG 011405Z 13007KT 10SM CLR 22/11 A3013 440 49  1400 130/07 RMK AO2
14840KMKG MKG20050601091009406/01/05 09:10:31  5-MIN KMKG 011410Z 15007KT 10SM CLR 22/11 A3013 440 49  1400 150/07 RMK AO2
14840KMKG MKG20050601091509406/01/05 09:15:31  5-MIN KMKG 011415Z 14008KT 10SM CLR 22/11 A3013 440 49  1400 140/08 RMK AO2
14840KMKG MKG20050601092009406/01/05 09:20:31  5-MIN KMKG 011420Z 13008KT 10SM CLR 23/11 A3013 440 47  1500 130/08 RMK AO2
14840KMKG MKG20050601092509406/01/05 09:25:31  5-MIN KMKG 011425Z 12009KT 10SM CLR 23/11 A3013 440 47  1500 120/09 RMK AO2
14840KMKG MKG20050601093009406/01/05 09:30:31  5-MIN KMKG 011430Z 14006KT 10SM CLR 23/11 A3013 440 47  1500 150/06 RMK AO2
14840KMKG MKG20050601093509406/01/05 09:35:31  5-MIN KMKG 011435Z 15005KT 10SM CLR 23/11 A3013 440 47  1500 160/05 RMK AO2
14840KMKG MKG20050601094009406/01/05 09:40:31  5-MIN KMKG 011440Z 12006KT 10SM CLR 23/11 A3013 440 45  1500 120/06 RMK AO2
14840KMKG MKG20050601094509406/01/05 09:45:31  5-MIN KMKG 011445Z VRB05KT 10SM CLR 23/12 A3013 440 47  1500 VRB/05 RMK AO2
14840KMKG MKG20050601095011706/01/05 09:50:31  5-MIN KMKG 011450Z 12009KT 10SM CLR 23/12 A3013 440 47  1500 120/09 RMK AO2 SLP202 T02330117 53009
14840KMKG MKG20050601095511706/01/05 09:55:31  5-MIN KMKG 011455Z VRB06KT 10SM CLR 23/11 A3013 440 45  1500 VRB/06 RMK AO2 SLP201 T02330111 50001
14840KMKG MKG20050601100009406/01/05 10:00:31  5-MIN KMKG 011500Z 09009KT 10SM CLR 23/11 A3013 440 45  1500 090/09 RMK AO2
14840KMKG MKG20050601100509406/01/05 10:05:31  5-MIN KMKG 011505Z 11007KT 10SM CLR 24/11 A3013 440 44  1600 120/07 RMK AO2
14840KMKG MKG20050601101010906/01/05 10:10:31  5-MIN KMKG 011510Z 12008KT 100V160 10SM CLR 24/11 A3013 440 44 1600 130/08 100V160 RMK AO2
14840KMKG MKG20050601101509406/01/05 10:15:31  5-MIN KMKG 011515Z 11007KT 10SM CLR 24/11 A3012 440 44  1600 120/07 RMK AO2
14840KMKG MKG20050601102009406/01/05 10:20:31  5-MIN KMKG 011520Z 10006KT 10SM CLR 24/11 A3012 440 44  1600 110/06 RMK AO2
14840KMKG MKG20050601102509406/01/05 10:25:31  5-MIN KMKG 011525Z 07007KT 10SM CLR 24/11 A3012 440 44  1600 070/07 RMK AO2
14840KMKG MKG20050601103009406/01/05 10:30:31  5-MIN KMKG 011530Z 09007KT 10SM CLR 24/11 A3012 440 42  1700 090/07 RMK AO2
14840KMKG MKG20050601103509406/01/05 10:35:31  5-MIN KMKG 011535Z 12010KT 10SM CLR 24/12 A3012 450 44  1700 120/10 RMK AO2
14840KMKG MKG20050601104010906/01/05 10:40:31  5-MIN KMKG 011540Z 08008KT 050V130 10SM CLR 25/12 A3012 450 43 1700 080/08 050V130 RMK AO2
14840KMKG MKG20050601104509406/01/05 10:45:31  5-MIN KMKG 011545Z 09011KT 10SM CLR 25/11 A3012 450 41  1800 090/11 RMK AO2
14840KMKG MKG20050601105011106/01/05 10:50:31  5-MIN KMKG 011550Z 09011KT 10SM CLR 25/11 A3011 450 41  1800 100/11 RMK AO2 SLP195 T02500111
14840KMKG MKG20050601105511106/01/05 10:55:31  5-MIN KMKG 011555Z 11007KT 10SM CLR 25/11 A3011 450 41  1800 120/07 RMK AO2 SLP195 T02500111
14840KMKG MKG20050601110009406/01/05 11:00:31  5-MIN KMKG 011600Z 10009KT 10SM CLR 25/11 A3011 450 39  1800 100/09 RMK AO2
14840KMKG MKG20050601110509406/01/05 11:05:31  5-MIN KMKG 011605Z 13006KT 10SM CLR 25/11 A3011 450 39  1800 130/06 RMK AO2
14840KMKG MKG20050601111009406/01/05 11:10:31  5-MIN KMKG 011610Z 13009KT 10SM CLR 26/10 A3011 450 37  1800 130/09 RMK AO2
14840KMKG MKG20050601111509406/01/05 11:15:31  5-MIN KMKG 011615Z 11010KT 10SM CLR 26/10 A3011 460 37  1800 110/10 RMK AO2
14840KMKG MKG20050601112011606/01/05 11:20:31  5-MIN KMKG 011620Z 12008G14KT 070V150 10SM CLR 26/11  A3011 460 38 1800 130/08G14 070V150 RMK AO2
14840KMKG MKG20050601112510006/01/05 11:25:31  5-MIN KMKG 011625Z 10009G22KT 10SM CLR 26/10 A3011 450  36 1900 100/09G22 RMK AO2
14840KMKG MKG20050601113010006/01/05 11:30:31  5-MIN KMKG 011630Z 10010G22KT 10SM CLR 26/09 A3011 460  34 1900 110/10G22 RMK AO2
14840KMKG MKG20050601113509406/01/05 11:35:31  5-MIN KMKG 011635Z 09008KT 10SM CLR 26/08 A3011 460 32  1900 090/08 RMK AO2
14840KMKG MKG20050601114009406/01/05 11:40:31  5-MIN KMKG 011640Z 13010KT 10SM CLR 27/08 A3010 460 29  2000 130/10 RMK AO2
14840KMKG MKG20050601114509706/01/05 11:45:31  5-MIN KMKG 011645Z 12012KT 10SM FEW065 26/07 A3010 460  29 1900 130/12 RMK AO2
14840KMKG MKG20050601115011406/01/05 11:50:31  5-MIN KMKG 011650Z 13013KT 10SM FEW065 27/07 A3010 460  28 2000 130/13 RMK AO2 SLP192 T02670072
14840KMKG MKG20050601115511406/01/05 11:55:31  5-MIN KMKG 011655Z 13008KT 10SM FEW065 27/05 A3010 460  24 2000 140/08 RMK AO2 SLP191 T02670050
14840KMKG MKG20050601120010006/01/05 12:00:31  5-MIN KMKG 011700Z 11007G14KT 10SM CLR 27/07 A3010 470  27 2000 110/07G14 RMK AO2
14840KMKG MKG20050601120510006/01/05 12:05:31  5-MIN KMKG 011705Z 11011G15KT 10SM CLR 27/06 A3010 470  26 2000 110/11G15 RMK AO2
14840KMKG MKG20050601121010006/01/05 12:10:31  5-MIN KMKG 011710Z 12011G16KT 10SM CLR 27/07 A3010 470  27 2000 130/11G16 RMK AO2
